emisiones_ gei_anio;emisiones_gei_habitante;emisiones_gei_habitante_unidad_medida
1990;8.21;tCO2eq / habitante
1991;8.85;tCO2eq / habitante
1992;8.98;tCO2eq / habitante
1993;8.77;tCO2eq / habitante
1994;8.87;tCO2eq / habitante
1995;8.93;tCO2eq / habitante
1996;9.78;tCO2eq / habitante
1997;9.57;tCO2eq / habitante
1998;10.17;tCO2eq / habitante
1999;9.8;tCO2eq / habitante
2000;9.7;tCO2eq / habitante
2001;9.6;tCO2eq / habitante
2002;9.58;tCO2eq / habitante
2003;9.9;tCO2eq / habitante
2004;10.2;tCO2eq / habitante
2005;9.98;tCO2eq / habitante
2006;10.55;tCO2eq / habitante
2007;10.94;tCO2eq / habitante
2008;10.29;tCO2eq / habitante
2009;9.07;tCO2eq / habitante
2010;9.31;tCO2eq / habitante
2011;9.00;tCO2eq / habitante
2012;9.77;tCO2eq / habitante
2013;9.74;tCO2eq / habitante
2014;9.00;tCO2eq / habitante
2015;8.49;tCO2eq / habitante
2016;8.25;tCO2eq / habitante
2016;8.4;tCO2eq / habitante
2016;8.22;tCO2eq / habitante
